train_loss,train_acc,test_loss,test_acc,lr
2.648613581161499,17.714,1.9254156364440917,23.75,0.1
1.8019994597244262,30.734,1.6814906997680663,35.28,0.1
1.5229089234161377,43.544,1.4683110376358033,46.97,0.1
1.283293914527893,53.48,1.438998762512207,51.21,0.1
1.1177845604133605,60.032,1.1167145849227906,60.62,0.1
1.0071149867248534,64.234,0.9919626461029053,66.17,0.1
0.9284059110641479,67.262,0.9457491128921509,68.38,0.1
0.86426047914505,69.826,0.9794871341705322,66.92,0.1
0.8035226133918763,71.898,0.8793974872589111,70.08,0.1
0.7618890361404419,73.358,0.7970240793228149,73.23,0.1
0.7090701594924926,75.124,0.723251575756073,74.33,0.1
0.6730235202598572,76.228,0.8357595465660095,72.75,0.1
0.6335658664321899,78.042,0.6856435545921326,76.67,0.1
0.6026139552688599,79.056,0.6513179558753968,77.92,0.1
0.5688601625061035,80.14,0.6815028982162475,77.2,0.1
0.550431081790924,80.874,0.6794362901687622,77.57,0.1
0.5280660466766357,81.71,0.6147659265995026,79.91,0.1
0.5045935012054443,82.45,0.6809402179718017,77.86,0.1
0.4898924475955963,83.016,0.7700160817146301,76.23,0.1
0.4787067046737671,83.322,0.5607581941366195,81.69,0.1
0.4599703784561157,84.042,0.5690794264793396,80.93,0.1
0.4431791123008728,84.696,0.6411546186447143,78.72,0.1
0.43609248058319094,84.776,0.5956798406600952,80.66,0.1
0.42522059853553773,85.148,0.5943743522644043,80.33,0.1
0.41165204702377317,85.694,0.5677666149616242,81.21,0.1
0.4037357646226883,85.95,0.6039017210960388,81.14,0.1
0.3917605918598175,86.26,0.5226555941104889,82.88,0.1
0.382186660861969,86.654,0.498813077545166,83.51,0.1
0.3743701037120819,86.918,0.5574778750419617,81.47,0.1
0.37055796310424804,87.1,0.5582050686836243,81.57,0.1
0.36393752225875853,87.332,0.539519323015213,82.41,0.1
0.3516486475658417,87.912,0.5086892535686492,83.27,0.1
0.34822562951087954,87.958,0.5115446639060974,83.24,0.1
0.34507882661819456,87.968,0.5081731421470642,83.94,0.1
0.3345672601604462,88.258,0.523915888929367,83.42,0.1
0.33012084650039675,88.37,0.5803358510017395,81.45,0.1
0.32499033304214475,88.69,0.5676325651168823,81.76,0.1
0.3155729812335968,89.156,0.4977653223514557,83.9,0.1
0.3132062282085419,89.196,0.4579919566631317,85.04,0.1
0.3116047033214569,89.174,0.517153605890274,83.42,0.1
0.3027253361797333,89.4,0.612906169128418,81.66,0.1
0.29834273694038393,89.68,0.4547363193511963,84.8,0.1
0.2934979944229126,89.71,0.4692940912723541,85.46,0.1
0.28826861642837526,90.032,0.563700848197937,82.63,0.1
0.287874948682785,89.972,0.44874344797134397,85.41,0.1
0.28541022130966187,89.958,0.46197749609947203,85.02,0.1
0.281577050819397,90.322,0.4601344720363617,85.09,0.1
0.2781874468803406,90.374,0.5228052233457565,84.21,0.1
0.27441926774978637,90.406,0.5458117217063904,83.14,0.1
0.27169645394802094,90.52,0.46791585984230044,84.87,0.1
0.2666945910453796,90.632,0.5014595676898956,84.38,0.1
0.26358805731773377,90.836,0.44019855651855466,86.19,0.1
0.2611939697933197,90.786,0.4226398555278778,86.18,0.1
0.2540821165895462,91.18,0.5251021427154541,84.21,0.1
0.2533382501029968,91.126,0.5065183521270752,84.35,0.1
0.2505371003866196,91.1,0.3874414577484131,87.5,0.1
0.25339395881175997,91.116,0.45480977511405946,86.08,0.1
0.24523614353179932,91.43,0.5492808079242706,83.24,0.1
0.24763808287620545,91.184,0.540763952255249,83.55,0.1
0.24335249927520752,91.494,0.4461809534072876,86.0,0.1
0.24093279361724854,91.512,0.45633842258453367,86.21,0.1
0.2386216161441803,91.61,0.4427775489330292,86.59,0.1
0.23294011038303375,91.76,0.456585671043396,86.15,0.1
0.23630273928642273,91.632,0.420811230802536,86.82,0.1
0.2333886922931671,91.84,0.48280547556877135,85.41,0.1
0.2304559373807907,92.032,0.38368720598220823,87.5,0.1
0.2311873958301544,91.912,0.46011587023735045,86.05,0.1
0.22758675487995148,92.134,0.4298386725902557,86.26,0.1
0.22493335966110228,92.11,0.5365533840775489,84.49,0.1
0.22046815598487854,92.258,0.5307350008010864,83.92,0.1
0.22346414001464843,92.142,0.38123370451927185,87.93,0.1
0.21868367832660676,92.378,0.46433522634506225,85.98,0.1
0.21918899496555327,92.302,0.49267188091278075,84.75,0.1
0.2159728624534607,92.346,0.4613037097930908,86.39,0.1
0.21401576107025147,92.356,0.5522713855266571,84.94,0.1
0.21946130439758302,92.344,0.4316588296175003,86.58,0.1
0.21004219986915587,92.688,0.4139862246632576,87.34,0.1
0.21399776920318603,92.444,0.44674186868667604,86.49,0.1
0.20855001974105836,92.606,0.4499889605998993,86.11,0.1
0.20820477966308593,92.726,0.4837406059265137,85.5,0.1
0.20888728355407715,92.702,0.4470157811164856,86.81,0.1
0.20761400271892547,92.742,0.4599794118881226,86.16,0.010000000000000002
0.12111975088119507,95.916,0.28169712743759157,91.24,0.010000000000000002
0.0862446033024788,97.1,0.2843504777908325,91.6,0.010000000000000002
0.07465564816951752,97.462,0.2877258329868317,91.8,0.010000000000000002
0.06921698837280274,97.702,0.2965995121479034,91.62,0.010000000000000002
0.062415839582681654,97.914,0.30133776478767393,91.62,0.010000000000000002
0.05760027397155762,98.132,0.3041760806083679,91.81,0.010000000000000002
0.055065390745401385,98.16,0.31079503052234647,91.84,0.010000000000000002
0.05033711913108826,98.34,0.31895824580192567,91.89,0.010000000000000002
0.046827499749660495,98.478,0.3203187626361847,91.72,0.010000000000000002
0.04503170584082603,98.516,0.3285174835443497,91.72,0.010000000000000002
0.04191969402909279,98.64,0.3344061988353729,91.6,0.010000000000000002
0.04005138710260391,98.678,0.3383740088701248,91.6,0.010000000000000002
0.03840310989230871,98.682,0.33966533393859866,91.8,0.010000000000000002
0.03649569133937359,98.83,0.341048019361496,91.74,0.010000000000000002
0.03317767748236656,98.934,0.343323211479187,91.84,0.010000000000000002
0.03522218059420586,98.834,0.3576714745998383,91.77,0.010000000000000002
0.031301146794557574,98.938,0.36400136485099793,91.59,0.010000000000000002
0.03197427602469921,98.916,0.36358268904685975,91.7,0.010000000000000002
0.02949679958164692,99.022,0.35861547570228575,91.88,0.010000000000000002
0.028090525790452958,99.02,0.36546432461738587,91.77,0.010000000000000002
0.028646270096898078,99.058,0.3580227166175842,91.76,0.010000000000000002
0.02597808960646391,99.144,0.3796514333248138,91.72,0.010000000000000002
0.028209585587978363,99.052,0.37590654077529906,91.67,0.010000000000000002
0.025214891397356987,99.132,0.3808406771183014,91.81,0.010000000000000002
0.02289678279861808,99.22,0.3870971809387207,91.6,0.010000000000000002
0.023899885992407797,99.218,0.39959289894104005,91.55,0.010000000000000002
0.0224180775475502,99.292,0.3915641474723816,91.96,0.010000000000000002
0.021427225586175918,99.328,0.4019431185245514,91.8,0.010000000000000002
0.021288066205978392,99.306,0.3957895275592804,91.68,0.010000000000000002
0.021401760243773462,99.314,0.39582293977737426,91.79,0.010000000000000002
0.021298498321771622,99.298,0.4026652195930481,91.63,0.010000000000000002
0.019951826248168946,99.362,0.4145229787826538,91.52,0.010000000000000002
0.01875875135242939,99.416,0.4094700515270233,91.95,0.010000000000000002
0.017090566551983356,99.446,0.40812496633529666,91.51,0.010000000000000002
0.018391283524632453,99.4,0.41390774626731874,91.71,0.010000000000000002
0.018291397386863827,99.394,0.41274701390266416,91.72,0.010000000000000002
0.018411332429349423,99.428,0.40787636852264403,91.85,0.010000000000000002
0.017525812223255634,99.434,0.42080483665466306,91.95,0.010000000000000002
0.01731739463150501,99.438,0.417722110748291,91.79,0.010000000000000002
0.01560394287109375,99.476,0.42260536251068115,91.69,0.010000000000000002
0.016294377518594264,99.462,0.4280690036296845,91.77,0.0010000000000000002
0.014454949243068695,99.544,0.40492739973068237,91.83,0.0010000000000000002
0.011679284382611513,99.674,0.40778656768798827,91.85,0.0010000000000000002
0.011161656851321458,99.696,0.4080155958175659,91.85,0.0010000000000000002
0.010418556828051805,99.716,0.40989333772659303,91.86,0.0010000000000000002
0.010375558556169272,99.7,0.40921529359817505,91.97,0.0010000000000000002
0.01027619279563427,99.706,0.41206276483535764,91.87,0.0010000000000000002
0.009897837477698922,99.734,0.41027707982063294,91.85,0.0010000000000000002
0.009292098746746778,99.74,0.414574617767334,91.87,0.0010000000000000002
0.009218017763197422,99.734,0.4089204083442688,91.95,0.0010000000000000002
0.00890886617615819,99.774,0.40967396421432495,91.97,0.0010000000000000002
0.009332357427924872,99.764,0.40874597878456115,91.99,0.0010000000000000002
0.009197193949073553,99.768,0.4166229997158051,91.94,0.0010000000000000002
0.00877315566584468,99.762,0.41517062978744507,91.89,0.0010000000000000002
0.008495269359499217,99.756,0.4166771142959595,91.84,0.0010000000000000002
0.009037041003406047,99.726,0.41647992305755616,91.95,0.0010000000000000002
0.008113097861409187,99.788,0.4177901214122772,91.9,0.0010000000000000002
0.009346742859780788,99.74,0.4171477308750153,91.76,0.0010000000000000002
0.008573201238363982,99.77,0.41645725345611573,91.92,0.0010000000000000002
0.008377081618309022,99.782,0.419243212223053,91.99,0.0010000000000000002
0.007632561732530594,99.814,0.4199086091041565,92.0,0.0010000000000000002
0.00813366210371256,99.796,0.42022453122138975,92.04,0.0010000000000000002
0.008394497485607862,99.754,0.4173172396659851,92.08,0.0010000000000000002
0.007960333408638835,99.78,0.4221048944473267,91.96,0.0010000000000000002
0.007445570165514946,99.81,0.4180416548728943,92.06,0.0010000000000000002
0.007402945070415735,99.828,0.4233866397380829,92.09,0.0010000000000000002
0.0077694463261961935,99.79,0.4209027174949646,91.9,0.0010000000000000002
0.007814492141753435,99.794,0.4225705916404724,91.99,0.0010000000000000002
0.007064279668554664,99.806,0.42343673405647275,91.95,0.0010000000000000002
0.007495461657196284,99.812,0.42185597887039183,92.0,0.0010000000000000002
0.006920493540912866,99.828,0.4245857431411743,92.04,0.0010000000000000002
0.00751115599386394,99.828,0.42470992431640625,92.07,0.0010000000000000002
0.00752015233963728,99.812,0.42545328869819643,91.92,0.0010000000000000002
0.008000413810312749,99.784,0.41854118909835814,92.13,0.0010000000000000002
0.0070319341826438906,99.8,0.42265410099029543,92.12,0.0010000000000000002
0.006485438794493675,99.848,0.42434721965789796,92.13,0.0010000000000000002
0.006597610935345292,99.832,0.42572526993751525,92.05,0.0010000000000000002
0.006949309338852763,99.802,0.4264083345413208,92.03,0.0010000000000000002
0.006824108417406678,99.832,0.423627538394928,91.99,0.0010000000000000002
0.006591971167400479,99.83,0.424778023147583,92.08,0.0010000000000000002
0.006978493792936206,99.848,0.4261857270717621,91.94,0.0010000000000000002
0.007137153803706169,99.814,0.4254959336280823,92.1,0.0010000000000000002
